текст;категория;;;;;;;;;
Ответ: обзорная статья Здравствуйте, Вероника Викторовна! Статья не добавлена Среда, 19 декабря 2018, 13:27 +03:00 Вестник ВГУ <csit@cs.vsu.ru: Уважаемая Ирина Леонидовна! Пожалуйста, прочтите статью в Вестнике ВГУ САИТ. В.А. Дурденко, А.А. Рогожин, Д.С. Богданов, Б.О. Баторов АЛГОРИТМ И ПРОГРАММА ОПТИМАЛЬНОГО БРОНИРОВАНИЯ ФУНКЦИОНАЛЬНЫХ ЕДИНЫХ КОМПЛЕКСНЫХ СИСТЕМ БЕЗОПАСНОСТИ ОБЪЕКТОВ, ПОДЛЕЖАЩИХ ОБЯЗАТЕЛЬНОЙ ГОСУДАРСТВЕННОЙ ОХРАНЕ Гаршина В.В. Каширина Ирина;обзор;;;;;;;;;
"Ответ: Сотрудничество со SQUID Добрый день. Скажите, пожалуйста, вы прочитали мое предыдущее письмо? С уважением, Игорь Павлов, региональный менеджер по России ____________________ электронная почта: igor@squidapp.co мобильный телефон: +375296612877 www.squidapp.co <http://squidapp.co/en/ Понедельник, 17 декабря 2018 г., 16:18 Игорь Павлов <igor @squidapp.co написал: Хорошего дня! Мы можем добавить вас в https://play.google.com/store/apps/details?id=co.squidapp.squid&hl=ru и отправлять push-уведомления со статьями нашим пользователям в обмен на заметку о нас или сообщение. Баннер со ссылкой на приложение. Если вам интересно, пишите. Недавно мы запустили новый раздел в приложении SQUID Learn English. *""SQUID Learn English""* доставляет вашим подписчикам лучшие статьи из англоязычных СМИ. Для каждой статьи подобраны задания и пояснения, которые помогут вам запомнить новые слова и улучшить свой английский. С уважением, Игорь Павлов, региональный менеджер по России ____________________ электронная почта: igor@squidapp.co мобильный телефон: +375296612877 www.squidapp.co <http://squidapp.co/en/";Вопросы;;;;;;;;;
"Ответ: Статья на рецензию Седых-SAIT.docx Отзыв отправляю, 19.12.2018, 13:49, ""Вестник ВГУ"" <csit@cs.vsu.ru: Татьяна Михайловна! Для справки прилагаю статью Седых (обсуждаемую в редакции). Правила журнала + шаблон отзыва прилагаю. С уважением, Гаршина В.В.";обзор;;;;;;;;;
Ответ: Обзорная статья Меньших В.В.docx Здравствуйте, Вероника Викторовна! Посылаю отзыв на статью, к сожалению он отрицательный. С уважением, Меньших В. Среда, 19 декабря 2018 г., 13:54 +03:00 Из Вестника ВГУ <csit@cs.vsu.ru: Уважаемый Валерий Владимирович! Прошу Вас ознакомиться со статьей С.П. в журнале «Вестник ВГУ САИТ». Полуэктов, В.С. Струков, А.А. Копылов, М.В. Себелев АЛГОРИТМ ЭРГАТИЧНОГО УПРАВЛЕНИЯ СИСТЕМОЙ В ЧАСТНОМ СЛУЧАЕ. Прилагаю текст статьи, правила оформления статьи журнала и шаблон рецензии. С уважением, Вероника Викторовна Генеральный секретарь журнала «Меньших Гаршина».;обзор;;;;;;;;;
"Ответ: Рецензия на статью Доработанная статья Kononov.rar Здравствуйте, Вероника Викторовна! Сегодня (21.12.2088 г.) мы поговорили с уважаемым рецензентом о нашей статье (Кононов А.Д., Кононов А.А. «Принципы работы информационной системы дистанционного управления движением движущихся объектов»). По результатам оценки обработанных материалов Сирота А.А. поручил мне отправить Вам по электронной почте доработанную версию статьи и подписать положительный отзыв. Даже хорошо, что наша статья не заняла 4-е место в 2018 году; 2018 год был для нас очень закрытым в плане публикаций, но инфраструктура 2019 года многообещающая. С уважением, авторы Кононов А.Д., Кононов ААПС. Поздравляем с наступающими праздниками. Понедельник, 22 октября 2018 г., 21:10 +03:00 Из Вестника ВГУ <csit@cs.vsu.ru: Уважаемые авторы! Редакция провела внутреннюю рецензию статьи ПРИНЦИПЫ РАБОТЫ ИНФОРМАЦИОННОЙ СИСТЕМЫ ДИСТАНЦИОННОГО УПРАВЛЕНИЯ ОБЪЕКТАМИ ДВИЖЕНИЯ АД, несмотря на поступившую рецензию от Бобрешова А.М. Кононова, А.А. Кононова. В обзор включены комментарии, которые могут быть приняты к публикации после проверки. Добавляю текст отзыва. P/S Мы все еще собираем и оцениваем 42018 ответов. Секретарь журнала «Вестник ВГУ» САИТ Гаршина В.В.";пересмотр;;;;;;;;;
"Исправление комментариев Григорьевой Т.Е., Дегтяревой Н.А., Дмитриевой В.М..docx, сведения об авторах.docx Здравствуйте, уважаемая редакция журнала! Исправлены комментарии авторов ИП к статье КОНЦЕПТУАЛЬНАЯ МОДЕЛЬ ПЛАНИРОВАНИЯ ПРОЦЕССА ОЧИСТКИ СНЕГА. Григорьева, Н.А. Дегтярева, В.М. Дмитриева. Мы вышлем вам исправленные версии статьи и информацию об авторах. Спасибо! Среда, 19 декабря 2018 г., 17:37 +07:00 Из Вестника ВГУ <csit@cs.vsu.ru: Уважаемые авторы! Статья КОНЦЕПТУАЛЬНАЯ МОДЕЛЬ ПЛАНИРОВАНИЯ ПРОЦЕССА ОЧИСТКИ СНЕГА И.Е. Григорьева, Н.А. Дегтярева, В.М. Дмитриев прошла рецензирование и принята в номер 42018. Однако есть замечания по оформлению статьи (необходимо исправить для публикации) 1) Авторский перевод названия статьи на английский язык. язык 2) Русский + английский информация об авторах 3) Все формулы и изображения символов формул в тексте должны быть написаны в Equation или MathType и представлять собой отдельные объекты (Нет в редакторе формул word!) Гаршина В.В. 14.12.2018 15 :39:17 +0300 Таня Григорьева <tanya_grig_1991@mail.ru написала: Здравствуйте, уважаемая редакция Журнала! Сколько бы раз я тебе ни писал, никто не отвечает; Когда я звоню, никто не отвечает. Статью отправила 29 октября, по процедуре рецензирования прошел 1 месяц и срок истек. Где можно узнать результаты обзора и будет ли опубликована статья автора ТЭ «Концептуальная модель планирования процесса уборки снега»? Григорьева, Н.А. Дегтярева, В.М. Дмитриева. в вашем журнале? Спасибо! С уважением, аспирантка Григорьева Татьяна Евгеньевна. Танюшка Григорьева";пересмотр;;;;;;;;;
"Ответ[2]: обзор статьи Здравствуйте! Спасибо за сообщение! Будем ждать от вас еще новостей. С уважением, Кононов А.А. Вторник, 25 декабря 2018 г., 13:12 +03:00 Из Вестника ВГУ <csit@cs.vsu.ru: Добрый день! Доработанная статья получена. Планируем выпуск 12019. Я также поздравляю вас с наступающим Новым годом и желаю, чтобы он был для вас добрым, здоровым и творческим. С уважением, Гаршина В.В. Пт, 21 дек 2018 18:31:35 +0300 Андрей_Врн <kniga16@mail.ru написал: Здравствуйте Вероника Викторовна! Сегодня (21.12.2088 г.) мы поговорили с уважаемым рецензентом о нашей статье (Кононов А.Д., Кононов А.А. «Принципы работы информационной системы дистанционного управления движением движущихся объектов»). По результатам оценки обработанных материалов Сирота А.А. поручил мне выслать вам по электронной почте доработанную версию статьи и подписать положительный отзыв. Даже хорошо, что наша статья не заняла 4-е место в 2018 году; 2018 год был для нас очень закрытым в плане публикаций, но инфраструктура 2019 года многообещающая. С уважением, авторы Кононов А.Д., Кононов ААПС. Поздравляем с наступающими праздниками. Понедельник, 22 октября 2018, 21:10 +03:00 Из Вестника ВГУ < csit@cs.vsu.ru: Уважаемые авторы! Редакция провела внутреннюю рецензию статьи ПРИНЦИПЫ РАБОТЫ ИНФОРМАЦИОННОЙ СИСТЕМЫ ДИСТАНЦИОННОГО УПРАВЛЕНИЯ ОБЪЕКТАМИ ДВИЖЕНИЯ АД, несмотря на поступившую рецензию от Бобрешова А.М. Кононова, А.А. Кононова. В обзор включены комментарии, которые могут быть приняты к публикации после проверки. Добавляю текст отзыва. P/S Мы все еще собираем и оцениваем 42018 ответов. Секретарь журнала «Вестник ВГУ» САИТ Гаршина В.В.";другой;;;;;;;;;
"Ответ[2]: исправление комментариев Спасибо большое! Вторник, 25 декабря 2018 г., 17:40 +07:00 Из Вестника ВГУ <csit@cs.vsu.ru: Уважаемые авторы! Материал получен. Что касается формул, то вы их не исправили (ввели текстом), окей, давайте их перепишем. Если вы создаете больше публикаций, установите MathType и вводите формулы как объекты. https://systeamadmin.ru/stati/raznoe/166prilozheniemicrosoftequationnedostupnochtodelat.html Секретарь журнала ВВ Суббота, 22 декабря 2018 г. 19:23:23 +0300 Таня Григорьева <tanya_grig_1991@mail.ru написала: Здравствуйте, уважаемая редакция журнала! Исправлены комментарии авторов ИП к статье КОНЦЕПТУАЛЬНАЯ МОДЕЛЬ ПЛАНИРОВАНИЯ ПРОЦЕССА ОЧИСТКИ СНЕГА. Григорьева, Н.А. Дегтярева, В.М. Дмитриева. Мы вышлем вам исправленные версии статьи и информацию об авторах. Спасибо! Среда, 19 декабря 2018 г., 17:37 +07:00 Из Вестника ВГУ < csit@cs.vsu.ru: Уважаемые авторы! Статья КОНЦЕПТУАЛЬНАЯ МОДЕЛЬ ПЛАНИРОВАНИЯ ПРОЦЕССА ОЧИСТКИ СНЕГА И.Е. Григорьева, Н.А. Дегтярева, В.М. Дмитриев прошла рецензирование и принята в номер 42018. Однако есть замечания по оформлению статьи (необходимо исправить для публикации) 1) Авторский перевод названия статьи на английский язык. язык 2) Русский + английский информация об авторах 3) Все формулы и изображения символов формул в тексте должны быть написаны в Equation или MathType и представлять собой отдельные объекты (Нет в редакторе формул word!) Гаршина В.В. Пятница, 14 декабря 2018 г. 15 :39:17 +0300 Таня Григорьева <tanya_grig_1991@mail.ru написала: Здравствуйте, уважаемая редакция Журнала! Сколько бы раз я тебе ни писал, никто не отвечает; Когда я звоню, никто не отвечает. Статью отправила 29 октября, по процедуре рецензирования прошел 1 месяц и срок истек. Где можно узнать результаты обзора и будет ли опубликована статья автора ТЭ «Концептуальная модель планирования процесса уборки снега»? Григорьева, Н.А. Дегтярева, В.М. Дмитриева. в вашем журнале? Спасибо! С уважением, аспирантка Григорьева Татьяна Евгеньевна. Танюшка Григорьева Танюшка Григорьева";пересмотр;;;;;;;;;
Статья из первого номера 2019 года Kopytin_Kopytina.zip Здравствуйте, Вероника! Предлагаю статью для первого номера за 2019 год. С уважением, Копытин А.В.;подача статьи;;;;;;;;;
"Article_Ledeneva_04.18.doc автор: Ledeneva, Article_Ledeneva_04.18.pdf Вероника, добрый вечер! один). Посылаю вам свою статью. Пока я просто оставил себя автором, потому что свою статью с Кристиной я практически переписал, нашел ошибки и т. д. 2) Сведения об авторах: Каплинский А.И., кандидат технических наук, доцент кафедры технической кибернетики и автоматизации управления машиностроительного факультета Воронежского государственного университета; Песин А.М., к.б.н. Я о нем мало что знаю, у него были публикации до 1995 года, он был связан с ВГУ; Завтра пойду в отдел кадров. 3) Статью предоставила дочь А.И. Каплинская Надя Удлер. долгосрочный";подача статьи;;;;;;;;;
RE: Дальше: заметки по оформлению Рис.rar, Статья_ВСУ_Золотухин_Азарнова_26.12.18.doc Вероника Викторовна, доброго времени суток! Мы вышлем вам исправленную версию статьи. С уважением, Азарнова ТВ.;пересмотр;;;;;;;;;
Рецензия на статью Баева_Куркин Рецензия на Баева_Куркин.docx Уважаемая Вероника Викторовна! Посылаю Вам рецензию на статью Баева Куркина. С уважением, Азарнова ТВ.;обзор;;;;;;;;;
Одна просьба и рыбка Garshina.rar Спокойной ночи! Высылаю отзывы о работе моих учеников на соревнованиях в Московской области. Оба имеют доступ к программам. Один (Кучеров) для программируемой рации, второй (Кострикин) для программы оценки работоспособности. Спасибо вам с этого момента. Пока!;обзор;;;;;;;;;
"Ответ[8]: обзорная статья Здравствуйте, Вероника Викторовна! Большая часть замечаний по содержанию исправлена... Остались замечания по оформлению: 1. В тексте много орфографических ошибок, нет пробела между словами. Может быть, у меня есть несовместимые с ними версии Word? Вы видели, как у вас дела (начиная с резюме)? 2. Не соответствует структура (далее – выдержка из правил): «Необходимые структурные элементы статьи включают в себя: аннотацию, вводный раздел с подразделом анализа результатов предыдущих исследований (отсутствует). , материалы главы. и методы исследования (нет) (теоретическая часть), результаты исследования главы и их обсуждение, заключение главы, список использованной литературы."" Или необязательными являются только главы с такими заголовками? 3. Нумерация в формулах отсутствует ( пронумерована только одна); это Поскольку формулы не включены в статью, нумеровать их нет необходимости. С уважением, Каширина И.Л. Среда, 19 декабря 2018, 13:24 +03:00 Вестник ВГУ < csit@cs. vsu.ru: Ирина Леонидовна, Добрый день, авторы прислали следующую доработанную версию статьи. С уважением, Гаршина В.В. Чт, 15 Ноя 2018 14:53:53 +0300 Каширина Ирина@mail.ru написала: Вероника Викторовна. !К сожалению, на мой взгляд, результаты вычислительного эксперимента в статье некорректны и изначально было стойкое ощущение, что никакого другого новшества там нет (авторы используют стандартные известные методы). эта статья среда, 14 ноября 2018 года в 12:55 +03:00 из Вестника ВГУ < csit@cs.vsu.ru : Ирина Леонидовна! Авторы доработали статью с учетом замечаний рецензентов. Посмотрите, можно ли его опубликовать. Добавляю новую версию статьи + ответ рецензенту. С уважением, Гаршина В.В. Суббота, 10 ноября 2018 г. 12:56:16 +0300 Каширина Ирина < kash.irina@mail.ru написала: Четверг, 8 ноября 2018 г., 13:28 +03:00 Вестник ВГУ < csit@cs .vsu.ru От: Укажите на ошибки и отправьте на доработку. Статьи должны быть качественными. С уважением, Гаршина В.В. Ср, 07.11.2018 12:01:05 +0300 Каширина Ирина < kash.irina@mail.ru написала: Что делать, если многое улучшилось, но статья по-прежнему содержит ошибки (в формулах)? Стоит ли отправлять его обратно на доработку? Среда, 7 ноября 2018, 0:57 +03:00 Из Вестника ВГУ < csit@cs.vsu.ru : Ирина Леонидовна! Получена доработанная версия статьи и ответы авторов на замечания в рецензии. Направляю материал на доработку на предмет возможности публикации в «Вестнике ВГУ САИТ». С уважением, Гаршина В.В. Понедельник, 10 сентября 2018 г. 22:54:25 +0300 Каширина Ирина < kash.irina@mail.ru написала: Четверг, 6 сентября 2018 г., 14:31 +03:00 Из Вестника ВГУ < csit @cs.vsu.ru : Уважаемая Ирина Леонидовна! Предлагаю Вам сделать рецензию на статью для научного журнала «Вестник ВГУ ГАИТ ИА». Истомин НЕЙРОСЕТЕВОЕ МОДЕЛИРОВАНИЕ ПРОЦЕССА ОХЛАЖДЕНИЯ ПОЛОСЫ НА СТАНЕ ГОРЯЧЕЙ ПРОКАТКИ Седых В.А. Просим Вас сделать это немедленно до 15 сентября 2018 г., т. к. многие статьи оформлены некорректно и авторам придется корректировать форматирование. Прикрепляю файл с шаблоном обзора и правилами оформления статьи. С уважением, генеральный секретарь журнала Гаршина Вероника Викторовна Каширина Ирина Каширина Ирина Каширина Ирина Каширина Ирина Каширина Ирина";проверка статьи;;;;;;;;;
Ответ[2]: статья на рецензию Рецензия на статью Вестник ВСУ.docx Выкладываю рецензию извините, что так долго было в конце года была большая нехватка времени в среду , 19 декабря 2018, 14:13 + 03:00 Вестник ВГУ от <csit@cs.vsu.ru: Добавлено. 19.12.2018 13:37:17 +0300 Каширина Ирина < kash.irina@mail.ru написала: Здравствуйте Вероника Викторовна! Статья не добавлена Среда, 19 декабря 2018, 13:27 +03:00 Из Вестника ВГУ < csit@cs.vsu.ru: Уважаемая Ирина Леонидовна! Пожалуйста, прочтите статью в Вестнике ВГУ САИТ. В.А. Дурденко, А.А. Рогожин, Д.С. Богданов, Б.О. Баторов АЛГОРИТМ И ПРОГРАММА ОПТИМАЛЬНОГО БРОНИРОВАНИЯ ФУНКЦИОНАЛЬНЫХ ЕДИНЫХ СИСТЕМ БЕЗОПАСНОСТИ ОБЪЕКТОВ, ПОДЛЕЖАЩИХ ОБЯЗАТЕЛЬНОЙ ГОСУДАРСТВЕННОЙ ОХРАНЕ Гаршина В.В. Каширина Ирина Каширина Ирина;обзор;;;;;;;;;
"Re: Рецензия на статью Спасибо, принято! Мы улучшим его в ближайшее время! Сообщение от Mail.Ru для Android в среду, 09 января 2019, 20:40 +03:00 из Вестника ВГУ csit@cs.vsu.ru: Уважаемые авторы! Статья АЛГОРИТМ И ПРОГРАММА ОПТИМАЛЬНОГО РЕЗЕРВИРОВАНИЯ ФУНКЦИОНАЛЬНЫХ УЗЛОВ ИНТЕГРИРОВАННЫХ СИСТЕМ БЕЗОПАСНОСТИ ОБЪЕКТОВ ОБЯЗАТЕЛЬНОЙ ГОСУДАРСТВЕННОЙ ЗАЩИТЫ В.А. Дурденко, А.А. Рогожина, Д.С. Богданова, Б.О. Баторова нуждается в доработке для публикации в журнале ""Вестник ВГУ САИТ"". Добавляю обзор + текст правил оформления. С уважением, Гаршина В.В.";пересмотр;;;;;;;;;
Ответ[2]: заметки по оформлению Статья_ВСУ_Золотухин_Азарнова_9.01.19(1).doc Вероника, добрый вечер! Поздравляем с прошедшими замечательными праздниками и старым Новым годом! Извините за задержку, высылаю вам исправленную версию статьи. С уважением, Азарнова Татьяна. Пятница, 4 января 2019, 16:19 +03:00 Из Вестника ВГУ <csit@cs.vsu.ru: Татьяна, добрый день! С днем рождения! Редактируем тему и после редактирования поста остались проблемы: 1) Формулы не помещаются в 8 см столбцы. У вас такие крупные дроби, что я даже не знаю, как их перевести. Может быть, вы могли бы ввести тарифы и включить таблицу тарифов в текст статьи? Подумайте об этом, мы пока отложили ваши статьи, пока печатали остальные. Найдите, как это исправить, и отправьте его. 2) Необходимо сократить резюме. При верстке аннотация (русский + английский) занимает больше первой страницы статьи. На одной странице должно быть не менее 5 строк текста статьи. Попробуйте разрезать. С уважением, Вероника Гаршина Чт, 27 дек 2018 10:15:51 +0300 Татьяна < ivdas92@mail.ru написала: Вероника Викторовна, добрый день! Мы вышлем вам исправленную версию статьи. С уважением, Азарнова ТВ Татьяна Азарнова.;пересмотр;;;;;;;;;
Статья в журнале Струкова Р.И. «Вестник ВГУ». СтруковРИ_статья_Бюллетень_.docx,pic1.jpg,pic2.jpg,pic3.png Добрый день! Я хочу, чтобы моя статья была опубликована в журнале «Вестник ВГУ». Я вышлю Вам материалы (текст статьи, изображения в формате *.jpg). С уважением, Роман Струков. ВГУ. ФКН. ПИТ-отдел.;подача статьи;;;;;;;;;
Ответ: Согласование статьи Статья_Кротов.doc, перевод названия статьи Воронеж.doc Здравствуйте, уважаемая Вероника Викторовна. Высылаю Вам макет статьи с исправленными ошибками. Те части, где я нашел и исправил ошибки, выделены желтым фоном. С уважением и благодарностью, Кирилл Викторович Кротов. Среда, 9 января 2019, 21:29 +04:00 Из Вестника ВГУ <csit@cs.vsu.ru: Уважаемый автор! Пожалуйста, немедленно проверьте статью на наличие ошибок в ее оформлении. Если есть ошибки, пожалуйста, опубликуйте список найденных ошибок. Также нам понадобится авторский вариант английского перевода названия статьи. Представитель секретаря журнала «Вестник ВГУ САИТ» Гаршина В.В. Кирилл Кротов;пересмотр;;;;;;;;;
Перевод названия статьи Воронеж.doc, Статья_Кротов.doc Перевод названия статьи Воронеж.doc, Статья_Кротов.doc Здравствуйте уважаемая Вероника Викторовна. Высылаю Вам макет статьи с исправленными ошибками. Те части, где я нашел и исправил ошибки, выделены желтым фоном. С уважением и благодарностью, Кирилл Викторович Кротов. Кирилл Кротов;пересмотр;;;;;;;;;
Ответ: Проверяю статью Здравствуйте, все правильно, ошибок не обнаружено. Пятница, 11 января 2019, 18:42 +07:00 Из Вестника ВГУ <csit@cs.vsu.ru: Уважаемые авторы! Пожалуйста, немедленно проверьте статью на наличие ошибок в ее оформлении. Если есть ошибки, пожалуйста, опубликуйте список найденных ошибок. Представитель секретаря журнала «Вестник ВГУ САИТ» Гаршина В.В. Танюшка Григорьева;проверка статьи;;;;;;;;;
Статья для публикации в статье «Вестник ВГУ».docx Контактный телефон 89610296360 Юлия Попова;подача статьи;;;;;;;;;
Ответ[2]: Статью опубликовать в Вестнике ВГУ Рис.1.png,article.docx Пятница, 11 января 2019 г., 23:21 +03:00 Из Вестника ВГУ <csit@cs.vsu.ru: Уважаемые авторы! Представленный материал не соответствует формату и оформлению статей журнала «Вестник ВГУ САИТ». Рекомендации для авторов размещены на сайте журнала. http://www.vestnik.vsu.ru/content/analiz/index_ru.asp Только после правильного оформления мы сможем отправить статью на рассмотрение. Представитель секретаря журнала «Вестник ВГУ САИТ» Гаршина В.В. Пт, 11 января 2019 19:16:54 +0300 Юлия Попова < yulechka_popova_95@mail.ru написала: Контактный телефон 89610296360 Юлия Попова Юлия Попова;проверка статьи;;;;;;;;;
От Шашкина 03.07.2018 15:14:58 +0300 «Вестник ВГУ» <csit@cs.vsu.ru написал: Уважаемые члены редколлегии! В пятницу 06.07.2018 в 13.00 в аудитории факультета компьютерных наук. Решением 381а (раздел ПИТ) будет проведено заседание редакционной коллегии журнала «Вестник серии САИТ ВГУ». Предмет встречи – компиляция № 22018. Просим присылать и приносить подписанные комментарии к рецензируемым статьям. Генеральный секретарь журнала: Гаршина В.В. П/СИ Добавляю шаблон рецензии + новые правила оформления статьи Вероника! Статьи Фроловой могут быть опубликованы. Есть лишь одно уточнение к названию: вместо ЧИСЛЕННЫЙ МЕТОД НАХОЖДЕНИЯ ПОЛЯ СКОРОСТИ АКСЕСИМЕТРИЧЕСКОЙ ЗАДАЧИ ОБЪЕМНЫХ МАТЕРИАЛОВ вносится следующее предложение: С уважением, декан факультета прикладной математики и математики ВГУ, д.м.н. физико-математических математических наук. Физико-математические науки, проф. Шашкин Александр Иванович псевдо 8(473)2208322 dean@amm.vsu.ru;другой;;;;;;;;;
Ответ: Сверка статьи Тихомирова, Кармановой, Битюкова, Маслова (1).pdf Здравствуйте! Неточности, которые необходимо исправить в файле, выделены желтым цветом. Большое спасибо! Среда, 16 января 2019 г., 21:20 +03:00 Из Вестника ВГУ <csit@cs.vsu.ru: Уважаемые авторы! Пожалуйста, немедленно проверьте статью на наличие ошибок в ее оформлении. Если есть ошибки, пожалуйста, опубликуйте список найденных ошибок. Представитель секретаря журнала «Вестник ВГУ САИТ» Гаршина В.В. С уважением, Александр Маслов imasslove@mail.ru;пересмотр;;;;;;;;;
Ответ рецензенту третьего отзыва +Чернышов_Горяинов_Лешонков_Соболева_Никифорова_3,Чернышов_Горяинов_Лешонков_Соболева_Никифорова_3.doc,Ответ рецензенту третьего отзыва.doc Вероника! Комментатор Ляхов Л.Н. разрешает публикацию данной статьи после детального обсуждения с авторами статьи (в результате авторы внесли некоторые изменения в текст). Он попросил меня сообщить о моем решении редакции журнала. С уважением, декан факультета прикладной математики и математики ВГУ, доктор физико-математических наук, профессор Шашкин Александр Иванович т. н. 8(473)2208322 dean@amm.vsu.ru оригинальное сообщение ниже;готов к публикации;;;;;;;;;
Ответ: Сокращенное резюме Демченко М. Вестник ВГУ.doc исправлено! Четверг, 17 января 2019, 0:41 +03:00 Из Вестника ВГУ <csit@cs.vsu.ru: Ирина Леонидовна! Вам необходимо сохранять аннотацию вашей статьи (42019 SAIT) до 10 строк, иначе текст статьи не поместится на первой странице статьи (что не будет соответствовать стилю всего журнала). Нужен срочно. Готовый pdf выпуск мы должны представить в пятницу. С уважением, Гаршина В.В. Каширина Ирина.;пересмотр;;;;;;;;;
Ответ: Рецензия на статью Дурденко, Рогожина, Баторава, Богданова_из._total.docx, Помогите устранить Комментарии_totog.docx, Рис. 1.jpg Дорогая Вероника Викторовна! В соответствии с комментариями рецензента доработана статья ВА АЛГОРИТМ И ПРОГРАММА ОПТИМАЛЬНОГО БРОНИРОВАНИЯ ФУНКЦИОНАЛЬНЫХ КОМПЛЕКСНЫХ СИСТЕМ БЕЗОПАСНОСТИ ОБЯЗАТЕЛЬНЫХ ОБЪЕКТОВ ГОСУДАРСТВЕННОЙ ЗАЩИТЫ. Дурденко, А.А. Рогожин, Д.С. Богданов, Б.О. Баторов. Прикрепленные файлы: 1. Статья АЛГОРИТМ И ПРОГРАММА ОПТИМАЛЬНОГО РЕЗЕРВИРОВАНИЯ ФУНКЦИОНАЛЬНЫХ УЗЛОВ ИНТЕГРИРОВАННЫХ ОБЪЕКТНЫХ СИСТЕМ БЕЗОПАСНОСТИ. 2. Справка об удалении замечаний рефери. 3. Модифицированная фигура!. С уважением, В.А. Дурденко. Среда, 9 января 2019 г., 20:43 +03:00 Из Вестника ВГУ <csit@cs.vsu.ru: Уважаемые авторы! Статья АЛГОРИТМ И ПРОГРАММА ОПТИМАЛЬНОГО БРОНИРОВАНИЯ ФУНКЦИОНАЛЬНЫХ ЕДИН ИНТЕГРИРОВАННЫХ СИСТЕМ БЕЗОПАСНОСТИ ОБЯЗАТЕЛЬНЫХ ОБЪЕКТОВ ГОСУДАРСТВЕННОЙ ЗАЩИТЫ В.А. Дурденко, А.А. Рогожина, Д.С. Богданова, Б.О. Баторова нуждается в доработке для публикации в журнале Вестник ВГУ САИТ. Добавляю обзор + текст правил оформления. С уважением, Гаршина В.В. Владимир Дурденко.;пересмотр;;;;;;;;;
Статья в Вестнике ВГУ Стабилизация системы связанных перевернутых маятников с вертикальными колебаниями.zip С уважением, Попов М.А.;подача статьи;;;;;;;;;
Ответ: Сократите резюме Вероники Викторовны, но по правилам объем резюме должен составлять от 150 до 250 слов. Раньше у нас было 210 слов. Пересмотренная версия, которую я опубликовал сегодня, имеет длину всего 90 слов (это 10 строк). Может тогда правила надо скорректировать, потому что это противоречие? Четверг, 17 января 2019, 0:41 +03:00 Из Вестника ВГУ <csit@cs.vsu.ru: Ирина Леонидовна! Вам необходимо сохранять аннотацию вашей статьи (42019 SAIT) до 10 строк, иначе текст статьи не поместится на первой странице статьи (что не будет соответствовать стилю всего журнала). Нужен срочно. Готовый pdf выпуск мы должны представить в пятницу. С уважением, Гаршина В.В. Каширина Ирина.;проверка статьи;;;;;;;;;
Ответ: Тихомиров_edits.docx, согласование статьи Тихомиров, Карманова, Битюков, Маслов (1).pdf Добрый день, обнаружил в статье несколько неточностей (в прикрепленном файле: pdf примечания к исправлениям, в WORD-файле выделены желтым цветом): Среда, 16 января 2019 г., 21:20 +03:00 Из Вестника ВГУ <csit@cs.vsu.ru: Уважаемые авторы! Пожалуйста, немедленно проверьте статью на наличие ошибок в ее оформлении. Если есть ошибки, пожалуйста, опубликуйте список найденных ошибок. Представитель секретаря журнала «Вестник ВГУ САИТ» Гаршина В.В. С уважением, Карманова Ольга Викторовна Тел/факс (4732)499237;проверка статьи;;;;;;;;;
Ответ[4]: статья на рецензию Вестник ВГУ.docx рецензия на статью отправляю рецензию С уважением, Каширина И.Л. Суббота, 19 января 2019 г., 19:37 +03:00 Из Вестника ВГУ <csit@cs.vsu .ru: Ирина Леонидовна! Авторы доработали статью с учетом замечаний. Материал прилагаю для ознакомления. С уважением, Гаршина В.В. Пт, 04 Янв 2019 20:28:00 +0300 Каширина Ирина < kash.irina@mail.ru написала: Выкладываю отзыв, извините, что так долго было, в конце года у меня есть много неприятностей Ср, 19 декабря 2018, 14:13 +03:00 Из Вестника ВГУ < csit@cs.vsu.ru : Добавлено. 19.12.2018 13:37:17 +0300 Каширина Ирина < kash.irina@mail.ru написала: Здравствуйте Вероника Викторовна! Статья не добавлена Среда, 19 декабря 2018, 13:27 +03:00 Из Вестника ВГУ < csit@cs.vsu.ru: Уважаемая Ирина Леонидовна! Пожалуйста, прочтите статью в Вестнике ВГУ САИТ. В.А. Дурденко, А.А. Рогожин, Д.С. Богданов, Б.О. Баторов АЛГОРИТМ И ПРОГРАММА ОПТИМАЛЬНОГО БРОНИРОВАНИЯ ФУНКЦИОНАЛЬНЫХ КОМПЛЕКСНЫХ СИСТЕМ БЕЗОПАСНОСТИ ОБЪЕКТОВ, ПОДЛЕЖАЩИХ ОБЯЗАТЕЛЬНОЙ ГОСУДАРСТВЕННОЙ ОХРАНЕ Гаршина В.В. Каширина Ирина Каширина Ирина Каширина Ирина;обзор;;;;;;;;;
Трансляция Здравствуйте! Я говорю о публикации своих работ. Хотелось бы уточнить даты предстоящих публикаций и требования к срокам подачи.;Вопросы;;;;;;;;;
