текст;категория
Тема: Годовой объем текстов для перевода на английский язык (газеты ВГУ) Оформить в виде записки, подписанной редактором. вт 12 ноя 2019 21:30:28 +0300 «Вестник ВГУ» <csit@cs.vsu.ru написал: Олег Александрович, добрый день! Прогнозы ВГУ Бюллетеня SAIT на 2020 год. Объем данных на английском языке составляет примерно 500 000 символов с пробелами. Принцип оценки: Средняя стоимость (название+аннотация+сведения об авторе) 23500*22 (среднее количество статей в номере) С уважением, Представитель секретаря журнала Гаршина В.В. Суббота, 9 ноября 2019 г. 15:44:30 + 0300 «Козадеров Олег» <ok@chem.vsu.ru написал: Уважаемые коллеги! Учитывая необходимость планирования объема работ по организации перевода на английский язык на 2020 год к 13.11.2019 (среда), прошу Вас предоставить данные об общем объёме текстов, которые должны быть опубликованы в Вашем английском журнале в 2020 году (желательно см. том соответствующего текста, опубликованного в 2019 году). Объем текста определяется как количество печатаемых символов (включая пробелы!). Пожалуйста, подтвердите получение этого письма. С уважением, доктор Хабил. Козадеров Олег Воронежский государственный университет 1 место в университете. 394018 Воронеж Российская Федерация Телефон: +7 473 2207 533;другой
"Re: Конденсат Здравствуйте, Виктория Викторовна! Я покажу этот вариант юристам. Признаюсь, что основной причиной размещения длинной версии на сайте было наличие английского перевода. Кто будет переводить это соглашение? Сегодня я посмотрел рекомендации по дизайну сайтов, опубликованные АНРИ, которые пригодятся вам при проектировании сайта https://rasep.ru/formembers/bibliotekaanri/275polnyerekomendatsiipopodgotovkesajtovzhurnalov Я не увидел этих рекомендаций при проектировании своего, поэтому теперь Я исправлю допущенные ошибки. С уважением, Логачева В.А. 13.11.2019 14:39, Вестник ВГУ пишет: Вера Алексеевна, добрый день! Я подготовил (краткую) версию лицензионного соглашения. Я согласился с Козодеровым. Не могли бы вы показать это юристам? Если они согласятся, мы избавим вас от необходимости вносить лишнюю информацию в договор и отправлять документы. Делаем вариант для всех журналов. Я ввел пункт Факсимиле (электронный): копии документов действительны и имеют такую же юридическую силу, что и оригиналы. С УФ. Гаршина В.В. Вторник, 12 ноября 2019 г. 09:57:47 +0300 КОНДЕНСИРОВАННОЕ ВЕЩЕСТВО И ИНТЕРФАЗА <kcmf@main.vsu.ru написала: Виктория Викторовна! Спасибо за сотрудничество! Было очень трудно двигаться вперед в одиночку; имела значение внешняя точка зрения коллег, их советы и помощь. С уважением, В.А. 11.11.2019 16:18, Вестник ВГУ пишет: Это предложение и ваш пример кратчайшего варианта я отправил Козодерову на согласование. Посмотрим, что он скажет. Понедельник, 11 ноября 2019 16:06:25 +0300 КОНДЕНСИРОВАННОЕ ВЕЩЕСТВО И ИНТЕРФАЗЫ <kcmf@main.vsu.ru написал: Предложение разумное, будем действовать так. 11.11.2019 14:15, Вестник ВГУ пишет: Отличный пример! Вот еще маленький. Предлагается следующий сценарий взаимодействия с авторами: 1) Автор скачивает файл лицензионного соглашения с сайта журнала. Цветной скан договора, подписанного всеми авторами, высылается вместе с документами статьи. 2) Если статья принята к публикации, редакция распечатывает и подписывает договор. Хранится в издательстве. 3) По просьбе автора выслать ему цветной скан договора. Понедельник, 11 ноября 2019 13:47:53 +0300 КОНДЕНСИРОВАННОЕ ВЕЩЕСТВО И ИНТЕРФАЗА <kcmf@main.vsu.ru написал: Здравствуйте, Вероника Викторовна! Высылаю ссылку на лицензионное соглашение на одноименные журналы Физико-технического института. Ф. РАН Иоффе: https://docviewer.yandex.ru/view/0/?*=Y%2B%2FrmeYPAClYDygV2AgsFGatxOl7InVybCI6InlhLWJyb3dzZXI6Ly80RFQxdVhFUFJySlJYbFVGb2V3cnVMSGZPYlZkaUx4c3lSc3 J SR 1 E9PT9zaWduPVpNc1V5bkpic19aTVZraU1icnQteUcyakdleEZ6enlYWVJZU1lEUWFVNFk9IiwidGl0bGUiOiJkb2dvdm9yLmRvYyIsIm5vaWZyYW1lIjpmYWxzZSwidWlkIjoiMCisInRz Ijo xNTczNDY4 OD k5NTM5LCJ5dSI6IjI2NDQ4NjAyMTE1NzE2NjQ0OTcifQ%3D%3D С уважением, Логачева В.А.";другой
Тема: Версия лицензионного соглашения САИТ Приложение-3-Лицензионный-договор-_ля-РИНЦ.docx С уважением, Сирота А.А. Среда, 13 ноября 2019 г. 14:35:08 +0300 «Вестник ВГУ» <csit@cs.vsu ru . написал: Александр Анатольевич! Прикрепляю версию лицензионного соглашения SAIT на утверждение, а затем передам ее юристам. С УФ. Гаршина;другой
Статья Кротов.docx, экспертное мнение 11-2.pdf, Об авторах.doc Статья Кротов.docx, экспертное мнение 11-2.pdf, Об авторах.doc Здравствуйте, уважаемая Вероника Викторовна. Прошу Вас рассмотреть мою статью в Вестнике ВГУ «Серия: Системный анализ и информационные технологии». С уважением, доцент кафедры информационных систем Севастопольского государственного университета имени Кротова Кирилл Кротов.;презентация статьи
Об авторе.doc, статья Кротов.docx, экспертное мнение 11-2.pdf Об авторе.doc, статья Кротов.docx, экспертное мнение 11-2.pdf Здравствуйте, уважаемая Вероника Викторовна. Прошу Вас рассмотреть мою статью в Вестнике ВГУ «Серия: Системный анализ и информационные технологии». С уважением, доцент кафедры информационных систем Севастопольского государственного университета имени Кротова К.В. Кротов Кирилл;презентация статьи
Re[2]: Статья Колегова О.А. Здравствуйте, подскажите, находится ли моя статья на рассмотрении? Вторник, 15 октября 2019 г., 16:58 +08:00 от Вестника ВГУ <csit@cs.vsu.ru: Уважаемые авторы! В редакцию журнала «Вестник ВГУ САИТ» поступила статья МОДЕЛЬ ОЦЕНКИ И ВЫБОРА ПРОЕКТОВ СТРАТЕГИЧЕСКОГО РАЗВИТИЯ АВТОМОБИЛЬНО-ТРАНСПОРТНОЙ КОМПАНИИ НА ОСНОВЕ СИСТЕМЫ СБАЛАНСИРОВАННЫХ ПОКАЗАТЕЛЕЙ И МЕТОДА АНАЛИТИЧЕСКИХ СЕТЕЙ (МОДЕЛЬ ОЦЕНКИ И ВЫБОРА ПРОЕКТОВ СТРАТЕГИЧЕСКОГО РАЗВИТИЯ I) АТФ НА ОСНОВЕ SSP И MAS) О. А. Колегова, А. А. Захарова Статья на рецензировании. Мы сообщим о результатах. представитель-секретарь журнала Гаршина В.В. Понедельник, 14 октября 2019 г. 12:46:43 +0300 Ольга Колегова <olga030188@mail.ru написала: Здравствуйте, вы получили мое письмо со статьей? С уважением, специалист отдела ММР ЮТИ ТПУ Колегова О.А., доб. как. 6709. С уважением, специалист УМР кафедры цифровых технологий УТИ ТПУ Колегова О.А., доб. как. 6709.;Запросы
Re: статья для обзора Рецензии Сагдатуллина A_M_SAIT.docx Выкладываю рецензию на материал А.М. Сагдатуллина. С уважением, Буховец А.В. Воскресенье, 10 ноября 2019 г., 19:46 +15:00 от Вестника ВГУ <csit@cs.vsu.ru: Уважаемый Алексей Георгиевич! По согласованию с Леденевой Т.М., отправляю статью на рецензию в Вестик ВГУ САИТ А.М. Сагдатуллина АНАЛИЗ МАТЕМАТИЧЕСКИХ ПОДХОДОВ И МЕТОДОВ МОДЕЛИРОВАНИЯ СЛОЖНЫХ И ФРАКТАЛЬНЫХ СИСТЕМ НА ПРИМЕРЕ ФУНКЦИОНАЛЬНОЙ РЕАЛИЗАЦИИ КАНТОРОВОГО МНОЖЕСТВА. Образец отзыва прилагаю. Срок рецензирования – 20 ноября 2019 г. С уважением, Представитель секретаря журнала Гаршина В.В. Буховец Алексей Владимирович.;Пока мы не встретимся снова
"статья Рис1.docx,Рис2.docx,Статья .doc Здравствуйте! Моя научная статья под названием «*АНАЛИЗ* РЕЧИ* *СИГНАЛА*» была представлена для публикации в серии журналов «Системный анализ и информационные технологии» в разделе «Математические методы системного анализа и управления». Если вы не возражаете, можете ли вы дать мне некоторую информацию о том, что вы получили в прикрепленных статьях и графиках? Заранее спасибо. С наилучшими пожеланиями; Хени Мин Зо Курский государственный университет.";Запросы
Тема: Королев= ответы на комментарии рецензента Ответ после повторной рецензии.pdf, Рецензия 2 Королев С.А., Майков Д.Вdocx, Рецензия 2 Королев С.А., Майков Д.Вpdf Привет. Я считаю, что статью можно опубликовать в журнале. Я написал второй отзыв. Без комментариев. Просим также направить ответ рецензента авторам. С уважением, Сергей Медведев Четверг, 14 ноября 2019 г., 13:12 +15:00 от Вестника ВГУ <csit@cs.vsu.ru: Сергей, добрый день! Получена доработанная версия статьи + ответы на комментарии в журнале (МОДИФИКАЦИЯ АЛГОРИТМА ТЕСТИРОВАНИЯ ЧАСТИЦ НА ОСНОВЕ МЕТОДА АНАЛИЗА ИЕРАРХИЙ С.А. Королев, Д.В. Майков) Пожалуйста, посмотрите еще раз. С уважением, Гаршина В. С уважением, Сергей Медведев.;Пока мы не встретимся снова
"Re: Конденсат Здравствуйте, Виктория Викторовна! Юристы очень серьезно отнеслись к нашим контрактам и рассмотрят их в течение недели. С уважением, Логачева В.А. 13.11.2019 16:12, Вестник ВГУ пишет: Проблем с переводом не будет! Серия Translate = Лингвистика и межкультурная коммуникация. :)) Все это для сокращения бумажной работы и экономии электроэнергии! Среда, 13 ноября 2019 14:50:58 +0300 КОНДЕНСИРОВАННОЕ ВЕЩЕСТВО И ИНТЕРФАЗА <kcmf@main.vsu.ru написал: Здравствуйте, Виктория Викторовна! Я покажу этот вариант юристам. Признаюсь, что основной причиной размещения длинной версии на сайте было наличие английского перевода. Кто будет переводить это соглашение? Сегодня я посмотрел рекомендации по дизайну сайтов, опубликованные АНРИ, которые пригодятся вам при проектировании сайта https://rasep.ru/formembers/bibliotekaanri/275polnyerekomendatsiipopodgotovkesajtovzhurnalov Я не увидел этих рекомендаций при разработке своего, поэтому теперь Я исправлю допущенные ошибки. С уважением, Логачева В.А. 13.11.2019 14:39, Вестник ВГУ пишет: Вера Алексеевна, добрый день! Я подготовил (краткую) версию лицензионного соглашения. Я согласился с Козодеровым. Не могли бы вы показать это юристам? Если они согласятся, мы избавим вас от необходимости вносить лишнюю информацию в договор и отправлять документы. Делаем вариант для всех журналов. Я ввел пункт Факсимиле (электронный): копии документов действительны и имеют такую же юридическую силу, что и оригиналы. С УФ. Гаршина В.В. Вторник, 12 ноября 2019 г. 09:57:47 +0300 КОНДЕНСИРОВАННОЕ ВЕЩЕСТВО И ИНТЕРФАЗА <kcmf@main.vsu.ru написала: Виктория Викторовна! Спасибо за сотрудничество! Было очень трудно двигаться вперед в одиночку; имела значение внешняя точка зрения коллег, их советы и помощь. С уважением, В.А. 11.11.2019 16:18, Вестник ВГУ пишет: Это предложение и ваш пример кратчайшего варианта я отправил Козодерову на согласование. Посмотрим, что он скажет. Понедельник, 11 ноября 2019 16:06:25 +0300 КОНДЕНСИРОВАННОЕ ВЕЩЕСТВО И ИНТЕРФАЗЫ <kcmf@main.vsu.ru написал: Предложение разумное, будем действовать так. 11.11.2019 14:15, Вестник ВГУ пишет: Отличный пример! Вот еще маленький. Предлагается следующий сценарий взаимодействия с авторами: 1) Автор загружает файл лицензионного соглашения на сайт журнала. Цветной скан договора, подписанного всеми авторами, высылается вместе с документами статьи. 2) Если статья принята к публикации, редакция распечатывает и подписывает договор. Хранится в издательстве. 3) По просьбе автора выслать ему цветной скан договора. Понедельник, 11 ноября 2019 13:47:53 +0300 КОНДЕНСИРОВАННОЕ ВЕЩЕСТВО И ИНТЕРФАЗА <kcmf@main.vsu.ru написал: Здравствуйте, Вероника Викторовна! Высылаю ссылку на лицензионное соглашение на одноименные журналы Физико-технического института. Ф. РАН Иоффе: https://docviewer.yandex.ru/view/0/?*=Y%2B%2FrmeYPAClYDygV2AgsFGatxOl7InVybCI6InlhLWJyb3dzZXI6Ly80RFQxdVhFUFJySlJYbFVGb2V3cnVMSGZPYlZkaUx4c3lSc3 J SR 1 E9PT9zaWduPVpNc1V5bkpic19aTVZraU1icnQteUcyakdleEZ6enlYWVJZU1lEUWFVNFk9IiwidGl0bGUiOiJkb2dvdm9yLmRvYyIsIm5vaWZyYW1lIjpmYWxzZSwidWlkIjoiMCisInRz Ijo xNTczNDY4 OD k5NTM5LCJ5dSI6IjI2NDQ4NjAyMTE1NzE2NjQ0OTcifQ%3D%3D С уважением, Логачева В.А.";другой
Привет, вы получили сообщение. ????3.jpg Привет, мой друг, я Саса из Tianjin Semri Bearings Co., Ltd, которая занимается производством высокоточных подшипников уже 20 лет. Мы можем предложить различные типы подшипников, такие как: Роликоподшипники: конические роликоподшипники, сферические роликоподшипники, цилиндрические роликоподшипники, упорные роликоподшипники, игольчатые роликоподшипники, опорные подшипники и т. д. Подшипник: радиальный шарикоподшипник, радиально-упорный шарикоподшипник, линейный подшипник, скрещенный роликоподшипник, упорный шарикоподшипник, керамический подшипник, нейлоновый (пластик) подшипник, стержневой подшипник, сферический подшипник, роликовый подшипник с тонкими стенками, односторонний подшипник и т. д. Минимальный заказ-1 шт.! Присылайте мне список запросов в любое время. Я с нетерпением жду вашего ответа в ближайшее время. Sasa Sasa Sales smrd@semribearing.com TIANJIN SEMRI BEARING TECHNOLOGY CO., LTD Добавить: Промышленная зона HiTech, район Нанкай, Тяньцзинь, Китай ТЕЛ: +8615122795177 Веб-сайт: www.semribearing.com;другой
По вашему запросу просим исключить данное исследование из рассмотрения для публикации из-за отсутствия актуальных данных. Спасибо за предоставленную информацию.;отклоненный
Здравствуйте, просим исключить данную статью из рассмотрения, так как она перенесена в другую публикацию в связи с отсутствием необходимого ответа. Спасибо за понимание.;отклоненный
Уважаемый [Имя], представленная Вами работа не соответствует требованиям рецензирования из-за отсутствия информации об авторе и библиографических ссылок. Спасибо за предоставленную работу.;отклоненный
Спасибо за предоставление статьи. Однако в связи с неактуальностью данной темы мы вынуждены отказать в публикации Вашего материала.;отклоненный
Прошу исключить данную статью из рассмотрения, так как ответа на запрос не получено. Спасибо за понимание.;отклоненный
Уважаемый [Имя], представленная вами работа не может быть принята к рассмотрению из-за отсутствия необходимых данных. Мы вынуждены отклонить Ваш запрос на публикацию.;отклоненный
Просим исключить данную статью из рассмотрения в связи с неактуальностью представленных данных. Спасибо за предоставленную информацию.;отклоненный
Уважаемый [Имя], Представленная вами работа не соответствует требованиям оценки из-за недостаточности информации. Мы вынуждены отклонить Ваш запрос на публикацию.;отклоненный
Спасибо за предоставление статьи. Однако из-за отсутствия необходимых данных мы вынуждены отказать в публикации Вашего материала.;отклоненный
Прошу Вас исключить данную статью из рассмотрения в связи с неактуальностью представленных данных. Спасибо за предоставленную информацию.;отклоненный
Мы просим исключить это исследование из рассмотрения для публикации из-за отсутствия актуальности данных. Спасибо за предоставленную информацию.;отклоненный
Добрый день, пожалуйста удалите эту статью, так как она не соответствует требованиям для публикации. Спасибо за понимание.;отклоненный
Уважаемый [Имя], представленная вами работа не может быть принята к рассмотрению из-за отсутствия необходимых данных. Мы вынуждены отклонить Ваш запрос на публикацию.;отклоненный
Спасибо за предоставление статьи. Однако в связи с неактуальностью данной темы мы вынуждены отказать в публикации Вашего материала.;отклоненный
Прошу исключить данную статью из рассмотрения, так как ответа на запрос не получено. Спасибо за понимание.;отклоненный
Уважаемый [Имя], представленная Вами работа не соответствует требованиям рецензирования из-за отсутствия информации об авторе и библиографических ссылок. Спасибо за предоставленную работу.;отклоненный
Просим исключить данную статью из рассмотрения в связи с неактуальностью представленных данных. Спасибо за предоставленную информацию.;отклоненный
Уважаемый [Имя], представленная вами работа не может быть принята к рассмотрению из-за отсутствия необходимых данных. Мы вынуждены отклонить Ваш запрос на публикацию.;отклоненный
Спасибо за предоставление статьи. Однако из-за отсутствия необходимых данных мы вынуждены отказать в публикации Вашего материала.;отклоненный
Прошу Вас исключить данную статью из рассмотрения в связи с неактуальностью представленных данных. Спасибо за предоставленную информацию.;отклоненный
Дорогой! Рецензенты рассмотрели статью и дали разрешение на публикацию. Мы готовы предоставить окончательную версию для публикации в журнале. Спасибо за вашу помощь.;готов к публикации
Доброе утро, ! Сообщаю Вам, что статья доработана и готова к публикации. Спасибо за внимание.;готов к публикации
Дорогой ! Статья отредактирована с учетом замечаний рецензента и готова к публикации. Мы с нетерпением ждем вашей поддержки.;готов к публикации
Доброе утро, ! Мы получили положительную оценку рецензента и готовы представить статью к публикации. Спасибо за внимание к нашей работе.;готов к публикации
Дорогой! Мы рады сообщить, что статья успешно прошла рецензирование и теперь готова к публикации. Спасибо за внимание к нашей работе.;готов к публикации
Доброе утро, ! Подготовленная авторами статья готова к публикации после уточнения замечаний рецензента. Мы с нетерпением ждем вашей поддержки.;готов к публикации
Дорогой ! После внесения изменений с учетом замечаний рецензента мы готовы представить статью к публикации. Спасибо за внимание к нашей работе.;готов к публикации
Доброе утро, ! Мы рады сообщить, что статья прошла рецензирование и теперь готова к публикации. Мы с нетерпением ждем вашей поддержки.;готов к публикации
Дорогой! После удаления комментариев рецензента статья готова к публикации. Благодарим Вас за внимание к нашей работе.;готов к публикации
Доброе утро, ! С учетом рекомендаций рецензента статья готова к публикации. Спасибо за Вашу поддержку.;готов к публикации
Дорогой ! После удаления комментариев рецензента мы готовы отправить статью к публикации. Спасибо за внимание к нашей работе.;готов к публикации
Дорогой! Мы рады сообщить, что статья успешно прошла рецензирование и теперь готова к публикации. Благодарим Вас за поддержку.;готов к публикации
Доброе утро, ! Подготовленная авторами статья готова к публикации после уточнения замечаний рецензента. Мы с нетерпением ждем вашей поддержки;готов к публикации
Дорогой ! После внесения изменений с учетом замечаний рецензента мы готовы представить статью к публикации. Спасибо за внимание к нашей работе.;готов к публикации
Доброе утро, ! Мы рады сообщить, что статья прошла рецензирование и теперь готова к публикации. Мы с нетерпением ждем вашей поддержки.;готов к публикации
Дорогой! После удаления комментариев рецензента статья готова к публикации. Благодарим Вас за внимание к нашей работе.;готов к публикации
Доброе утро, ! С учетом рекомендаций рецензента статья готова к публикации. Спасибо за Вашу поддержку.;готов к публикации
Переопубликовать обзор Гаршин.doc Добрый вечер! Предоставляю обзорные материалы по студенческим работам. Если вы считаете, что нужно что-то менять, то я буду просто «За». Заранее спасибо. Пока мы не встретимся снова.;Пока мы не встретимся снова
Ответ: Шаблон отзыва (новый) Спасибо. Нечаев.;другой
"RE: Рецензия на статью ""Вестника САИТ"" Рецензия Толстоброва на статью А.С. Платоновой.docx Здравствуйте! Отправка отзыва С уважением, Толстобров Александр Павлович ____________________________ почта: Tap@vsu.ru тел.: +7(473)2555646 моб. как. : +79803424150 Skype: Tapvsu Исходное сообщение От: Вестник ВГУ [mailto:csit@cs. ру весь день] Отправлено: Пятница, 9 февраля 2018 г., 17:36 Кому: Tap@rcnit.vsu.ru Тема: Статья информационного бюллетеня ЗНАЙ Уважаемый Александр Павлович! Пожалуйста, прочитайте статью AS. Платонов «ОПТИМИЗАЦИЯ СТРУКТУРЫ БАЗЫ ДАННЫХ ИНФОРМАЦИОННОЙ СИСТЕМЫ МОНИТОРИНГА УСПЕХОВ ОБУЧЕНИЯ СТУДЕНТОВ». Я также добавил новую версию шаблона обзора. Гаршина";Пока мы не встретимся снова
RE: статья для рассмотрения проблемы review_on_user_protection.docx Здравствуйте, Вероника Викторовна! Свое мнение отправляю во вложении. Увидимся позже. Первое сообщение От: Вестник ВГУ [mailto:csit@cs.vsu.ru] Дата отправки: Пятница, 9 февраля 2018 г., 17:54 Кому: Вялых Сергей Ариевич Тема: Обзорная статья Сергей Ариевич, добрый день! СОВРЕМЕННЫЙ ПОДХОД К ПРОБЛЕМЕ ЗАЩИТЫ ПОЛЬЗОВАТЕЛЕЙ В КИБЕРПРОСТРАНСТВЕ Статья отправлена в журнал KS. Савина, А.В. Поначугин Прочтите, пожалуйста. P/S Статья слабая (ненаучная), выглядит как студенческая и не соответствует уровню журнала. Добавляю новый шаблон отзыва. С уважением, Гаршина В.В.;Пока мы не встретимся снова
RE: Рецензия на статью Толстобровой Рецензия на статью Черненькой-Магера.docx Здравствуйте! Отправка отзыва С уважением, Толстобров Александр Павлович ____________________________ почта: Tap@vsu.ru тел.: +7(473)2555646 моб. как. : +79803424150 Skype: Tapvsu Исходное сообщение От: Вестник ВГУ [mailto:csit@cs. ru весь день] Отправлено: Воскресенье, 11 февраля 2018 г., 22:37 Кому: Tap@vsu.ru Тема: Рецензия на статью Уважаемый Александр Павлович! Прочитайте статью LV ОНЛАЙН-СИСТЕМА ОБЕСПЕЧЕНИЯ КАЧЕСТВА ОБУЧАЮЩИХ КУРСОВ. Нерон и Магер Петра Великого. Санкт-Петербургский политехнический университет Гаршин В.В.;Пока мы не встретимся снова
 Re: проверка статьи;проверить предметы
 Ответ: Я ознакомлюсь со статьей СПАСИБО!!!!!!!!!!!!! 15.02.2018, 14.50, «Вестник ВГУ» <csit@cs.vsu.ru: Здравствуйте! Я отправил статью авторам на рассмотрение. Добавлю на всякий случай.;проверить предметы
"Ответ: Проверка товара Спасибо! И 15 февраля 2018 года в 22:11 пользователь рассылки ВГУ <csit@cs.vsu.ru написал: Мы исправим эту проблему! Окончательный PDF-файл выпуска будет опубликован по адресу http://www.vestnik.vsu.ru/content/analiz/archive_ru.asp. Генеральный секретарь журнала «Вестник ВГУ» САИТ Гаршина В.В. Четверг, 15 февраля 2018 г. 15:57:32 +0300 Магер Владимир Евстафьевич <mv@qmd.spbstu.ru написал: Уважаемые коллеги! Все понравилось, есть 2 небольших комментария: 1) На стр. 93, в последнем абзаце перед формулой (2): Iint должен быть курсивом, а int - строчными буквами; 2) очень желательно увеличить контрастность рисунков (в оригинале они выглядят резче). Спасибо за отличную работу! И 15 февраля 2018 года, 14.35. Пользователь информационного бюллетеня ВГУ <csit@cs.vsu.ru написал: Уважаемые авторы! Пожалуйста, немедленно проверьте статью на наличие ошибок форматирования. Если есть ошибки, выложите список найденных ошибок. Представитель секретаря журнала «Вестник ВГУ» САИТ Гаршина В.В.";готов к публикации
Статья_Шубина_Васева Авторы_информация.docx, Чертежи_Шубина_Васева.rar, Статья_Шубина_Васева.docx Привет. Посылаю Вам статью и информацию о ее авторах. Буду признателен, если вы предоставите нам информацию о том, как получить файлы и опубликовать их. С уважением, Е.С. Васева.;презентация статьи
Опубликованные статьи, 2018 Статья 1 (Нечаев и соавторы) Text.doc, Статья 2 (Нечаев и соавторы) Text.doc Уважаемая Вероника Викторовна! В соответствии с нашими договоренностями отправляю Вам статьи для публикации. Статья № 1, 2018 г. Отзывы и экспертные заключения (от физического факультета Радченко Юрия Степановича) подписаны, предоставлю их вам отдельно в разделе. С уважением, Нечаев Ю.Б.;презентация статьи
"Ответ: Snapshot_fig 1. Проверьте статью в формате JPG. Извините за поздний ответ, нам надоело... 1) Когда я в последний раз проверял краткое содержание и ключевые слова, сомнений не было. 2) Высылаю неподписанный рисунок в формате JPEG. Может быть, попробуйте. лучше это сделать. А 16 февраля 2018 года в 23:44 пользователь Вестника ВГУ <csit@cs.vsu.ru написал: У нас проблемы с версткой. 1) Проверьте резюме и ключевые слова на английском языке. Есть замечание о качестве перевода 2) Мы не можем судить о качестве иллюстраций независимо от присланного документа Word. Чертежи в высоком качестве просим присылать отдельными файлами (форматы png, tif, jpg). !!! Вам также нужно будет удалить подпись с первого рисунка. Секретарь журнала ВВ Пятница, 16 февраля 2018 г. 11:24:40 +0300 Владимир Евстафьевич Магер <mv@qmd.spbstu.ru написал: Спасибо! А 15 февраля 2018 года в 22:11 пользователь рассылки ВГУ <csit@cs.vsu.ru написал: Мы исправим эту проблему! Окончательный PDF-файл выпуска будет опубликован по адресу http://www.vestnik.vsu.ru/content/analiz/archive_ru.asp. Генеральный секретарь журнала «Вестник ВГУ» САИТ Гаршина В.В. Четверг, 15 февраля 2018 г. 15:57:32 +0300 Магер Владимир Евстафьевич <mv@qmd.spbstu.ru написал: Уважаемые коллеги! Все понравилось, есть 2 небольших комментария: 1) На стр. 93, в последнем абзаце перед формулой (2): Iint должен быть курсивом, а int - строчными буквами; 2) очень желательно увеличить контрастность рисунков (в оригинале они выглядят резче). Спасибо за отличную работу! И 15 февраля 2018 года, 14.35. Пользователь информационного бюллетеня ВГУ <csit@cs.vsu.ru написал: Уважаемые авторы! Пожалуйста, немедленно проверьте статью на наличие ошибок форматирования. Если есть ошибки, выложите список найденных ошибок. Представитель секретаря журнала «Вестник ВГУ» САИТ Гаршина В.В.";пересмотр
рисунки Вы получили рисунок 1? Что касается второго рисунка, то это шелкография, с ним, наверное, сложно что-либо сделать. БЫТЬ;Запросы
Ответ: Узнайте больше о товаре Спасибо. Мы посмотрим. Однако, поскольку она не имеет отношения к теме, мы просим удалить эту статью и опубликовать ее в вашей ленте. С уважением, Артем Лобанцев / С уважением, Артем Лобанцев. Telegram: http://t.me/lobantsev 19 февраля 2018, 21.42 Вестник ВГУ <csit@cs.vsu.ru написал: Уважаемые писатели! В контексте проектирования онтологической системы хранения текущих результатов медицинской диагностики в статье были подняты следующие вопросы: В тексте есть ссылки на рисунок 5.6, но сами рисунки отсутствуют. Прочтите всю статью. Представитель секретаря журнала «Вестник ВГУ» САИТ Гаршина В.В.;отклоненный
Ответ[6]: макет статьи Привет, комментариев нет. Данные потеряны. Ненадович Д.М., доктор технических наук. наук, старший научный сотрудник, «Корпорация специальных космических систем «Комета», Москва, УДК 621.396 С уважением, Ненадович В Директ +7 915 359 01 72;пересмотр
см. предлагаемый шаблон SAIT.docx. Когда мы опубликуем требования к позиции? Все уже согласовано... Иначе нам придется пересматривать эти договоренности вечно. Не обязательно ждать выхода новой серии. С уважением, Сирота А.;другой
Статья в Вестнике ВГУ: Системный анализ и информационные технологии БондаревЛопаткинСмирнов_Посадка.doc,picture1.jpg,picture2.jpg,picture3.jpg,picture4.jpg,picture5.jpg,picture6.jpg,ОПИС.doc Здравствуйте. XVIII. Просим Вас дать согласие на публикацию предлагаемой статьи по итогам доклада Международной конференции «Информатика: проблемы, методология, технологии» в журнале «Вестник ВГУ» (Серия: Анализ информационных систем и технологий) . . . » Заведующий кафедрой «Компьютерное моделирование в фундаментальных и прикладных исследованиях» Семенов М.Г. Наши контакты для связи: Лопаткин Дмитрий Викторович (89102499025), Бондарев Валерий Георгиевич (89192415383). Пока мы не встретимся снова! С уважением, Дмитрий Лопаткин.;презентация статьи
